  棋子.Dishkiyaoon.(2014).1CD.Webrip.x264.MP3.MSubs. D3Si.MaNiACs .715.92MB,magnet:?xt=urn:btih:e66ec16cc2515cac90c7ec62fa61e7ff21665a59  ,,
  办公室.Office.2014.720p.HDRip.H264-ReHD.2.55GB,magnet:?xt=urn:btih:433eff05ce02a4fa7e8e4254aea16ea2fccfae61  ,,
  半音.Black.Keys.2014.1080p.WEB-DL.x264.AAC-SmY.1.4GB,magnet:?xt=urn:btih:2a11b72e08d8e145cef18e275ad370062ad44859  ,,
  一击.One.Shot.2014.720p.BluRay.DTS.x264-HDS.5GB,magnet:?xt=urn:btih:6210eb2b7077a260456348569aacce0d53c3bb96  ,,
  办砸了.Botched.2007.720p.WEB-DL.DD5.1.H.264-FGT.2.96GB,magnet:?xt=urn:btih:f2d725568615af8b9c65057fe0832394d8acbde8  ,,
   回忆中的玛妮 When.Marnie.Was.There.2014.BluRay.720p.x264.2Audio.AC3-CnSCG.3.2GB,magnet:?xt=urn:btih:a410798db0e281fa132bcbe8b0a9ce549f89a893  ,,
  鲜花之日.Day.Of.The.Flowers.2013.DVDRiP.X264-TASTE.980.81MB,magnet:?xt=urn:btih:ef47dae4d876a0e867c500c5b63f7a40f2ef6eb1  ,,
  激情卡斯巴.Rock.The.Casbah.2013.FRENCH.720p.BluRay.x264-ROUGH.mkv.4.36GB,magnet:?xt=urn:btih:66ad6f2f5fe52084bee8c7422da93e4474732a3f  ,,
  破身之旅.Teen.Lust.2015.720p.WEB-DL.XviD.AC3-RARBG.1.93GB,magnet:?xt=urn:btih:0fb01ca033f9d058eebbfdc96c07600a3319696f  ,,
  不接吻才怪.Naomi.and.Elys.No.Kiss.List.2015.720p.WEB-DL.XviD.AC3-RARBG.2.41GB,magnet:?xt=urn:btih:673822e0b848d465ba951f33bb92fdcc8c6c11c8  ,,
  The.Idealist.2015.Bluray.1080p.TrueHD-7.1.Atmos.x264-Grym.15.53GB,magnet:?xt=urn:btih:d79ace88037ae9ec267eb90eaa001a0994c18515  ,,
  Night.School.1981.DVDRIP.X264.AAC.CrEwSaDe.706.69MB,magnet:?xt=urn:btih:6fee6844fd054f20ae2884a8ed4b92476b085497  ,,
  堕落色戒.Decadencia.2014.720p.BluRay.x264-WiKi.3.66GB,magnet:?xt=urn:btih:03f9245e4e4f1d397d7f7ca33435ee5f948ac357  ,,
  哀悼人.The.Mourner.2015.720p.BluRay.x264-WiKi.5.51GB,magnet:?xt=urn:btih:c9cdb5d1f1d2adb00a04ff1874f4c95e663ddc16  ,,
  氯.Chlorine.2013.720p.HDRip.XviD.AC3-RARBG.2.57GB,magnet:?xt=urn:btih:6d3dc79c8b1973831bc7d41cc81be0b782fd2e12  ,,
  暗杀教室.Assassination.Classroom.2015.720p.BluRay.x264.DTS-WiKi.4.85GB,magnet:?xt=urn:btih:6b05c911944389f59789840285ff745ad786ff50  ,,
  哈萌小镇.Harmontown.2014.720p.WEB-DL.DD5.1.H.264-wk.3.31GB,magnet:?xt=urn:btih:9a5170f39ad8a3d8e3bd3f70b36917df34f2023f  ,,
  活命直播.LiveTV.2014.720p.HDRip.H264-Canrel.mp4.1.92GB,magnet:?xt=urn:btih:46b1039ede704c0ad9c4e3e79dceb56d96e721ad  ,,
  Hate.Crime.2013.DVDRip.XviD.MP3-RARBG.647.94MB,magnet:?xt=urn:btih:2d48fca5144ed81b7e4fb6ea790091822344e87e  ,,
  心跳零距离.Dil.Dhadakne.Do.2015.720p.BluRay.DTS.x264-HDS.6.02GB,magnet:?xt=urn:btih:fdbe12904bedb2ca5309ae77db3424289e3320b7  ,,
  拉链.Zipper.2015.720p.BluRay.H264.AAC-RARBG.1.36GB,magnet:?xt=urn:btih:130739083d111f49b40ff59a281bda4f0baacdbc  ,,
  Phoenix.the.Warrior.(1988).1.2GB,magnet:?xt=urn:btih:7b5c25325cc7b2112210415fcd90905d4ef70ff8  ,,
  Carl.Barron.A.One.Ended.Stick.2013.720p.BluRay.x264-WaLMaRT.3.28GB,magnet:?xt=urn:btih:9f025338bd9f41921cd57b03d8fae031a2cb7002  ,,
  始料不及.Unexpected.2015.720p.BluRay.H264.AAC-RARBG.1.03GB,magnet:?xt=urn:btih:b023ddefa0702ed6ed7aecd32d481e540a608179  ,,
  无人机代号RZ-9.RZ-9.2014.720p.BluRay.H264.AAC-RARBG.1.12GB,magnet:?xt=urn:btih:d709e378bd767d1296e557ba2baaa37c4b6bae3a  ,,
   火影忍者剧场版：最终章 The.Last.Naruto.The.Movie.2014.BluRay.720p.x264.3Audio.AC3-CnSCG.3.5GB,magnet:?xt=urn:btih:a8cb365b89a2a2c3c702815595c246ad385c0c59  ,,
  铁血城堡.Game.of.Assassins.The.Gauntlet.2013.720p.WEBRIP.Xvid.AC3-FooKaS.2.25GB,magnet:?xt=urn:btih:cf41bf4392aeb1218b1c4c55ec5cb12bb2fa23e4  ,,
  在越南最后的日子.Last.Days.in.Vietnam.2014.LIMITED.720p.BluRay.x264-USURY.3.27GB,magnet:?xt=urn:btih:977dbcc8ccf2cb8a9efc1c070f6be8059db87f20  ,,
  公民科赫.Citizen.Koch.2013.DVDrip.XviD.AC3.MiLLENiUM.1.29GB,magnet:?xt=urn:btih:7e5dbe1c0fd32ecb53e8f7716ded0971d702d105  ,,
  夜莺.Nightingale.2014.720p.BluRay.H264.AAC-RARBG.1.02GB,magnet:?xt=urn:btih:121333f9193bfed3ed630c1a1815ba5a852be8b9  ,,
  淘气小魔仙.Roxy.Hunter.and.the.Mystery.of.the.Moody.Ghost.2008.DVDRiP.XviD-AFG.706.96MB,magnet:?xt=urn:btih:3890f71d1af1d380ec40dbea8dfbd2f669e93b44  ,,
  Diary.Ng.Panget.2014.DVDRip.x264-AEN.1.02GB,magnet:?xt=urn:btih:ab8bdfe5a0addffc83c92de93b0d4175ad4db2f8  ,,
  当我们做梦时.As.We.Were.Dreaming.2015.1080p.BluRay.x264-USURY.8.75GB,magnet:?xt=urn:btih:6eded004f042548ca13637896ec21659d85350b1  ,,
  姐妹的房间.Sisters.Room.720p.HDRip.H264-Ental.mp4.1.49GB,magnet:?xt=urn:btih:9c8c8b31a27a92e58a02aabd983641ce7ed991d0  ,,
  周恩来的四个昼夜.The.Story.of.Zho.Enlai.2013.720p.WEB-DL.x264.AAC-SmY.1.14GB,magnet:?xt=urn:btih:dcab950ff28fa2b3aed33aa64bf4411f4576716e  ,,
  Serena.and.the.Ratts.2012.720p.WEBRIP.Xvid.AC3-FooKaS.2.99GB,magnet:?xt=urn:btih:369172f314cfbad42d9be75ddd1df253a6dd16de  ,,
  Une.heure.de.tranquillité.2014.720p.BluRay.DTS.x264-HDS.3.21GB,magnet:?xt=urn:btih:30b69ec7203db39387e2a074d3f8624d9823cc99  ,,
  Run.Like.Hell.2014.WEB-DL.x264-RARBG.691.37MB,magnet:?xt=urn:btih:fdbfffd0d196a14cead26fae4ae423346f90a82e  ,,
  Ring.of.Bright.Water_RG_All_Films.1.47GB,magnet:?xt=urn:btih:fd5dd269457e9d164dd1f22dad99380067f904ca  ,,
  公寓.Tenement.1985.DVDRip.x264-HANDJOB.1.81GB,magnet:?xt=urn:btih:1ba02db40186604de9292e504da986af38a425e2  ,,
  超级旋风.Fast.Getaway.1991.HDTVRip.XviD.BG.Audio-Atany.avi.1.43GB,magnet:?xt=urn:btih:67e267c3f5015241635112b491038207c32d129c  ,,
  吸血夜惊魂.Nocturna.2015.720p.BluRay.H264.AAC-RARBG.1.16GB,magnet:?xt=urn:btih:b4191fff0e77aa716f323446e38862bb0124877b  ,,
  驱魔人.Lost.Souls.2000.DVDRip.x264-HANDJOB.1.54GB,magnet:?xt=urn:btih:663f6a186d19a2bdeb556d72450228c1b5c80c3d  ,,
  Ram.Teri.Ganga.Maili.1985.DvDrip.x264.AAC.~.Musical..Romance.~. RdY .mkv.1.45GB,magnet:?xt=urn:btih:4328f1d72ba29fede5fdcd42f1f2ae953ea059f6  ,,
  现实之舞.La.Danza.De.La.Realidad.2013.BDRip.1080.HDTracker.mkv.18.66GB,magnet:?xt=urn:btih:26b16a2be65d00ed140f63eeeb05c23e25ebace4  ,,
  Captain.Sabertooth.and.the.Treasure.of.Lama.Rama.2014.DUBBED.720p.BluRay.x264.DTS-RARBG.4.63GB,magnet:?xt=urn:btih:16461c0b9ae248bae21e611f32a2e0f13243a4f1  ,,
  森林泰山2.George.of.the.Jungle.2.2003.1080p.HDRip.x264.AAC2.0-FGT.3.71GB,magnet:?xt=urn:btih:56b75d9225b6881492a34165241b2a65872f9867  ,,
  1000.to.1.The.Cory.Weissman.Story.2014.1080p.HDRip.x264.AAC-KingStoner.5.06GB,magnet:?xt=urn:btih:fc5c1a02080990290957105703bab8f7c78c615c  ,,
"  ""摇""破天惊.The.Beat.Beneath.My.Feet.2014.1080p.WEB-DL.DD5.1.H264-FGT.3.55GB",magnet:?xt=urn:btih:d8e4a9ecd389c40e2df99375c43d01269a90b5b6  ,,
  安妮塔.Anita.2013.720p.DOCU.WEB-DL.DD5.1.H264-RARBG.2.42GB,magnet:?xt=urn:btih:8f1b51a328df477dfd9ebbe1a5e5949fb5a3c3b7  ,,
  隐秘的访问者.Secret.Visitor.2015.720p.HDRip.avi.1.62GB,magnet:?xt=urn:btih:7261ff727e0c981af6e0032340b5416d640ada03  ,,
  Om.Jai.Jagadish.2002.Hindi.720p.DvDRip.x264.AC3.5.1...GoBLinn.m4v.2.46GB,magnet:?xt=urn:btih:ddc1524358ae1accae37b4d28cb98aaa23148a53  ,,
  Tinker.1949.DVDRip.x264-FiCO.874.68MB,magnet:?xt=urn:btih:5b74da517ddbf1abf08d0008b066494183bfde45  ,,
  闪烁的爱情.Strobe.Edge.2015.720p.BluRay.x264-WiKi.4.42GB,magnet:?xt=urn:btih:984f52fabc2b84958bc46ef85f32b546c821f28b  ,,
  奇异小子.Gummo.1997.DVDRip.x264.mkv.1.22GB,magnet:?xt=urn:btih:d7cf303d8306d7f4697104522a1bff58e9c92020  ,,
  埃塞克斯男孩：生存规则.Essex.Boys.Law.Of.Survival.2015.720p.BluRay.H264.AAC-RARBG.1.11GB,magnet:?xt=urn:btih:500b4dd22e6b3703aefdadee1a65149619741921  ,,
  Men.Money.and.Gold.Diggers.2014.DVDRiP.X264-TASTE.619.91MB,magnet:?xt=urn:btih:a5ece7121719ce5770457f3978d3c6f00a4549e7  ,,
  宝贝答谢.Baby.Take.a.Bow.1934.(DVD.9).6.88GB,magnet:?xt=urn:btih:b45f9930ff30054a5a2014f122f3b3dbc3c62772  ,,
  梦在水面上.The.Surface.2015.DVDRip.x264.AAC.iNT-QaFoNE.mp4.778.11MB,magnet:?xt=urn:btih:14d524c8ce9f808299598ef05db81bfca5880c11  ,,
  精神病院.Asylum.(1972).avi.698.86MB,magnet:?xt=urn:btih:f2f390d77700f383621f7ca9abbfd4995b72a7f5  ,,
  弗吉尼亚人.The.Virginian.2014.720p.WEB-DL.DD5.1.H264-FGT.2.84GB,magnet:?xt=urn:btih:1062b08b043b72bc168cfcdb7530367c6e50a985  ,,
  Broken.Side.of.Time.2013.KORSUB.HDRip.x264.AAC-MiLLENiUM.980.83MB,magnet:?xt=urn:btih:a0bbdb420e90385fc80e31d5772321a2ab0236b6  ,,
  Sooryavansham.1999.DVDRip.XviD-xDR.1.47GB,magnet:?xt=urn:btih:e954d27f25e3ca7975e6b6b913d0f7003e9a583c  ,,
  The.Memory.Book.2014.HDTV.XviD-EVO.688.19MB,magnet:?xt=urn:btih:adb6ec34f8af549a9c0be0c8a90e183213848300  ,,
  Random.Encounters.2013.UNRATED.HDRiP.XViD.AC3-FiRE.1.36GB,magnet:?xt=urn:btih:2ae35ed4995a2c9ffee7aa51996a658981ff3308  ,,
  忍者.Shinobi.No.Mono.1962.DVDRip.XviD.AC3.SUBBED-RARBG.1.39GB,magnet:?xt=urn:btih:edc551a0bcffb73a4fed74f96685bc96d014578a  ,,
  我是你的英雄.Main.Tera.Hero(2014)-1CD-NoN.Retail-X264-SAP-AAC-D3si.MaNiAcs.706.38MB,magnet:?xt=urn:btih:d8c8dd9352b2ad4bdc71f6a1e1ff3a6474212c5b  ,,
  使命:绑架明星.Mission.Steal.the.Top.Star.2015.720p.HDRip-Unknown.2.65GB,magnet:?xt=urn:btih:a69414588fd0789796bb96118096a2ff88fa738b  ,,
  结果.Results.2015.720p.BluRay.H264.AAC-RARBG.1.27GB,magnet:?xt=urn:btih:2b3c54a411795b45455b8293dabbeafce6736cfe  ,,
  萨德侯爵.Die.Marquise.von.Sade.1976.720p.BluRay.x264.AAC.-.Ozlem.625.36MB,magnet:?xt=urn:btih:effaf25c508349cff27dbb11a1d9096a959a10f6  ,,
  打喷嚏的小熊猫.Sneezing.Baby.Panda.The.Movie.2014.720p.WEB-DL.DD5.1.H264-FGT.2.78GB,magnet:?xt=urn:btih:a4600919bd7f41c10daac16ac49d7e8fe2850267  ,,
   鲁邦三世真人版 Lupin.III.2014.BluRay.720p.x264.AC3-CnSCG.3.49GB,magnet:?xt=urn:btih:e1e438908be14633e296a958ede3baf4e3caae11  ,,
  200支香烟.200.Cigarettes.1999.WS.DVDRip.x264-REKoDE.1.11GB,magnet:?xt=urn:btih:c34c572fe0f468e01810a63087b9c678c379f415  ,,
  我的美丽王国.My.Beautiful.Kingdom.2013.1080p.HDRip.x264.AC3-SmY.2.32GB,magnet:?xt=urn:btih:0e8a0bc62f59f85bab84edf9d7d9a04999119b07  ,,
  黑暗迷失.Lost.After.Dark.2015.720p.BluRay.H264.AAC-RARBG.1.04GB,magnet:?xt=urn:btih:b0499e5d154661df9abc6b9740a6debb69e0f167  ,,
  魂飞胆破.4（伪）.Camp.Blood.First.Slaughter.(2014).DVDRiP.x264-RR.1.25GB,magnet:?xt=urn:btih:1ab0d176d7fd69e50a481d87ad357fc47b5d18bd  ,,
  安乐乡.Jauja.2014.READNFO.LIMITED.720p.BluRay.x264-USURY.4.37GB,magnet:?xt=urn:btih:b6dc2351ddd5428e2f22c78b1a0878683ccfbe3e  ,,
  热舞青春.Chance.Pe.Dance.2010.Hindi.HDRip.720p.x264.AC3...Hon3y.2.18GB,magnet:?xt=urn:btih:4329c1e1e27c4ac58597a6aabf1d1202b40fbbdd  ,,
  女王与国家.Queen.and.Country.2014.720p.WEB-DL.XviD.AC3-RARBG.3.37GB,magnet:?xt=urn:btih:5d45ff789941dae81c1ad3412cff4663c2561e0a  ,,
  身后事.Posthumous.2014.720p.BluRay.H264.AAC-RARBG.1.14GB,magnet:?xt=urn:btih:0501135de6cf2363ceef581f99787662c0b2315f  ,,
  Blood.Moon.2014.720p.WEB-DL.XviD.AC3-RARBG.1.82GB,magnet:?xt=urn:btih:6d83fa0f8ad1423074e6d6fa36cfbead3c8e779a  ,,
  剪刀、石头、布.Eenie.Meenie.Miney.Moe.2013.DVDRip.x264-VH-PROD.521.78MB,magnet:?xt=urn:btih:3937ff3f12f1008f54019abb153c48d0bd5c0b45  ,,
  追寻自由.The.Search.for.Freedom.2015.DOCU.720p.BluRay.x264-AN0NYM0US.3.27GB,magnet:?xt=urn:btih:9655e8cf559634168100c89090f2fd968f13e874  ,,
  反社会分子.Anti-Social.2015.WEB-DL.XviD.MP3-RARBG.1.46GB,magnet:?xt=urn:btih:e01667437bce51661468a3c2b14f41c0d8a95f5e  ,,
  认识佛金斯姐妹.Meet.The.Fokkens.2011.LIMITED.SUBBED.DVDRip.x264-BiQ.792.05MB,magnet:?xt=urn:btih:f338b7159968a6554f0867586904db935331d72e  ,,
  K-9.Adventures.Legend.Of.The.Lost.Gold.2014.DVDRip.x264-EXViD.848.65MB,magnet:?xt=urn:btih:407fc3f2349e18c9c36b77c69b129604df911841  ,,
  登龙妙招.Strictly.Business.1991.720p.WEBRiP.XViD.AC3-LEGi0N.2.57GB,magnet:?xt=urn:btih:350129e993d1c1066af13bf3cfdabc12a9e141c2  ,,
  哥本哈根.Copenhagen.2014.1080p.BluRay.x264.DTS-RARBG.7.04GB,magnet:?xt=urn:btih:73403beb47a278a74ff6d2f4deb34b8449e224ca  ,,
  妻子小姐.Wonderful.Nightmare.2015.720p.HDRip.H264-CINEFOX.mp4.2.74GB,magnet:?xt=urn:btih:c24142b2d4ce063d01272c7f5cd753ed78aebf78  ,,
  曼戈霍恩.Manglehorn.2014.720p.BluRay.H264.AAC-RARBG.1.19GB,magnet:?xt=urn:btih:d4e1c1e5353ef382a41495e0f1d684b6f9d12167  ,,
  疾走马丁.Speed.Walking.(Kapgang).2014.Bluray.1080p.DTS-HD.x264-Grym.13.48GB,magnet:?xt=urn:btih:81dabf38226826a140c0504478e003b53e75a6ec  ,,
  唇上之歌.Have.a.Song.on.Your.Lips.2015.720p.BluRay.x264-WiKi.5.25GB,magnet:?xt=urn:btih:f9eecbfe52f8ddbc30918f8642ce9a33b697a306  ,,
  愈合伴侣.Healingmate.2014.720p.UNCUT.HDRip.X264.AAC-Canrel.mp4.2.99GB,magnet:?xt=urn:btih:7366d1fc978372882bb7aa14c8a1abbb6b232697  ,,
  破碎的马.Broken.Horses.2015.720p.WEB-DL.XviD.AC3-RARBG.2.85GB,magnet:?xt=urn:btih:623d495f8e0fb5dc05df09c16c8b90c9ebe77402  ,,
  雪山怒吼大追缉.Shoot.To.Kill.1988.iNTERNAL.DVDRip.XviD-iLS.708.25MB,magnet:?xt=urn:btih:d9358b7ad62ce0c648629b65c4d0a6316ff37a3c  ,,
  Orchestra.Of.Exiles.2012.DVDRip.x264-WaLMaRT.810.68MB,magnet:?xt=urn:btih:f4ec85078dadbb86d0ddb4d442972316d236ed17  ,,
  Ginger.Meggs.1982.DVDRip.x264-PHOBOS.1.34GB,magnet:?xt=urn:btih:6cfc763d6f49b6d593575681e580191f8baabb3e  ,,
  Killer.Party.1986.720p.WEB-DL.x264-FGT.3.63GB,magnet:?xt=urn:btih:bc32201850aea636a60857d5dade10ade3436e1a  ,,
  在空中.Aloft.2014.720p.BluRay.x264.DTS-RARBG.4.18GB,magnet:?xt=urn:btih:e6a5f2f046458c96591fc830afa0f7d6bd911f46  ,,
  铁血双探.Back.In.Business.1997.DVDRiP.x264-LiViDiTY.1.08GB,magnet:?xt=urn:btih:8d3c467fa9d42bb9f0430b36d462de067f39c7fc  ,,
  恐怖天使.Terrible.Angels.2013.HDRip.XviD-AQOS.703.9MB,magnet:?xt=urn:btih:ca5fdaeba6189ee125ee69980414ef94ab0fcc92  ,,
  醉侠行.Legend.of.The.Drunken.Tiger.1990.DVDRip.XviD.AC3.DUBBED-RARBG.1.36GB,magnet:?xt=urn:btih:92326c6f32e39f6eabb6629ce3c199eba73eec91  ,,
  左耳.CCTV6HD.The.Left.Ear.2015.720p.HDTV.x264-CMCTV.mkv.4.08GB,magnet:?xt=urn:btih:9b750bd2855229ed54f37b4c23272d00ac9fff5d  ,,
  这里的黎明静悄悄.A.30Pi.3deC.T1x1e.2015.O.WEB-DL.720p.mkv.1.69GB,magnet:?xt=urn:btih:ec00415eebe8614488fe8450a2b9a92317c2e998  ,,
  年轻母亲3：我年纪如何.Young.Mother.3.2015.720p.HDRip.H264-iMrel.mp4.2.1GB,magnet:?xt=urn:btih:c562402c0d94610dcbd659c3dbd18051317c78a1  ,,
  The.Investigator.2013.720p.WEB-DL.XviD.AC3-RARBG.2.05GB,magnet:?xt=urn:btih:4888e8cf8d674f244eaf1d934f4771ed3d889771  ,,
  暗河.Oltre.il.guado.(2013)..720p.BRRip.x264.HD.741.01MB,magnet:?xt=urn:btih:87f29633687f44ce86d82f1317324fa890b2cafc  ,,
  La.Città.Ideale.(2012).DVDrip.DivX.Italian.Ac3.5.1.-Shiv@.avi.967.6MB,magnet:?xt=urn:btih:a3afd1ba72c2fc06e952cad212b76d7fdfb7e350  ,,
  The.Short.Game.2013.LiMiTED.DVDRip.x264-LPD.1.03GB,magnet:?xt=urn:btih:909cefbd4230dfe0fa720610821067ba06e5b989  ,,
  让烈火燃烧.Let.The.Fire.Burn.2013.DVDRip.x264-WiDE.660.58MB,magnet:?xt=urn:btih:cd8b58f3acbc70008fe4dde3befe1077e5921746  ,,
  WWE:地狱牢笼.2012.WWE.Hell.In.A.Cell.2012.PPV.HDTV.x264-EViLCREW.mp4.1.9GB,magnet:?xt=urn:btih:4ac50199e8376babb2ebbbaa394f6df11c1e2670  ,,
  古今大战秦俑情.A.Terracotta.Warrior.1989.R2.HKV.DVD9.X264.2Audio.AAC.Ripped-Angel.mkv.1.59GB,magnet:?xt=urn:btih:ff48e939243f8124e85316bdc8dcf6cd8eede698  ,,
  九个半忍者.9.5.Ninjas.1991.NetFlixRip.x264.mkv.1.23GB,magnet:?xt=urn:btih:ca1b18fb219cfa5ac5de5063e1510058920e120e  ,,
  Lord.of.Tears.2013.DVDRip.XviD.MP3-RARBG.1.02GB,magnet:?xt=urn:btih:7c7a6758e277cb0acf7b8aed2c4231c0f2d27580  ,,
  治外法权.Untouchable.Lawmen.2015.720p.HDRip.H264.AAC-CJCONTENTS.mp4.2.29GB,magnet:?xt=urn:btih:7464607e633d1961faa03485495fcf5df447bab1  ,,
  凶铃刺客.Vampires.The.Turning.2005.720p.WEB-DL.AAC2.0.H.264-FGT.2.31GB,magnet:?xt=urn:btih:ef97432a93dc47341b46490b200a7e6788700499  ,,
  刺杀奥斯瓦尔德.Killing.Oswald.2013.DVDRip.x264-RedBlade.1.03GB,magnet:?xt=urn:btih:0a75817f33d3ddd9522a51d39f6fcd5a5302d0c6  ,,
  燃烧的平原.The.Burning.Plain.2008.720p.BluRay.H264.AAC-RARBG.1.3GB,magnet:?xt=urn:btih:b4df95c22f5a2adf5cc530dcfeb49848405a7e51  ,,
  American.Maniacs.2010.UNRATED.720p.WEB-DL.AAC2.0.H.264-FGT.2.4GB,magnet:?xt=urn:btih:6b76de9d9f5b2945cbaed2f85767e3ff97449374  ,,
  Jake.Squared.2013.WEB-DL.XviD.MP3-RARBG.1.28GB,magnet:?xt=urn:btih:531a461892ac3dc3ea77a83ab63f0e6bc6b52bf8  ,,
  抢劫风暴.Tommy.2014.SWEDiSH.PROPER.BDRip.x264-WaLMaRT.509.99MB,magnet:?xt=urn:btih:c16fa041bd36c7ffad29a48926b1075ba8b70fe6  ,,
  生缝寸尺心.A.Stitch.of.Life.2015.720p.BluRay.x264-WiKi.4.42GB,magnet:?xt=urn:btih:4189594f9b14f11bb08e0f7a2403893d8815070a  ,,
  保持饥饿.Stay.Hungry.1976.Arnold.Schwarzenegger.698.81MB,magnet:?xt=urn:btih:a0afc1ec9588a44c0d770d0f922c0b5495bb43c8  ,,
  诱惑单行道-720高清.mp4.996.95MB,magnet:?xt=urn:btih:288a6ef375d7f32c9f0107f6838917f65a92c4f8  ,,
  Lucia.2013.720p.BluRay.DD5.1.x264-TayTO.8.25GB,magnet:?xt=urn:btih:97ef71653e6a4be95653c689c65e86b13e780d29  ,,
  异形魔种.Lethal.Target.(1999).DVDRip.XviD-FWOLF.698.44MB,magnet:?xt=urn:btih:951ce50e022925ad6fd23e657f3855c6976ab55c  ,,
  小熊维尼:长鼻怪万圣节.Poohs.Heffalump.Halloween.Movie.2005.DVDRip.x264-HANDJOB.1.09GB,magnet:?xt=urn:btih:61e3ef26b5f6b88eedcec2f5d083e99994a1edcc  ,,
  豆蔻年华.Grzeli.Nateli.Dgeebi.2013.720p.BRRip.x264.DTS.HD.776.01MB,magnet:?xt=urn:btih:b598b371e9f670de85dc27bcc009d37d8b2ad017  ,,
  糟糕的兄弟情.The.D.Train.2015.720p.BluRay.H264.AAC-RARBG.1.24GB,magnet:?xt=urn:btih:37c50d796b5d78d76d434724fdd16c7201005b74  ,,
  The.Moment.2013.DVDRip.x264-WiDE.625.97MB,magnet:?xt=urn:btih:7c8d01da83c915ed9ce69aefc202c10cd6671123  ,,
  誓不低头.The.Outfit.1973.DVDRip.x264-HANDJOB.1.64GB,magnet:?xt=urn:btih:67ef3f72f7442fea977afbbfa7fad09d96e10d39  ,,
  Out.of.the.Darkness.1985.DVDRip.x264-HANDJOB.1.11GB,magnet:?xt=urn:btih:e4aefb67146c11c10a33e4b54aa07d847686a63c  ,,
  A.New.York.Heartbeat.2013.DVDRip.XViD.AC3-GLY.803.88MB,magnet:?xt=urn:btih:a2b65f07c969fa56f3a9acbefba791f5990d4c60  ,,
  Mastram.(2014).Dvdscr.1CD.X264.MP3. D3Si.MaNiACs .705.21MB,magnet:?xt=urn:btih:a01a9a3f704adf602eb84887c6ab1c847a793262  ,,
  开放日.Doors.Open.2012.DVDRip.x264-PFa.527.07MB,magnet:?xt=urn:btih:ea4ceb87ea25642da34a6ad91c092f94f31da44d  ,,
  暴力街.QUARTIER_VIOLENT.6.37GB,magnet:?xt=urn:btih:43c0fdb6ddfcc90c557490d335e743f7feede2ea  ,,
  诱惑与遗弃.Seduced.And.Abandoned.2013.1080p.BRRip.x264-YIFY.1.44GB,magnet:?xt=urn:btih:5d2f3a7f7bfbecc3c7a696b647f088d2fa12dd03  ,,
  爱与慈悲.Love.and.Mercy.2014.720p.BluRay.x264.YIFY.870.49MB,magnet:?xt=urn:btih:fb8e28a6d2e17f41f804a24ec1cbb9791708a0ed  ,,
  猎仇者.Pay.Back.2013.720P.WEB-DL.720p.x264.AAC-LZHD.1.15GB,magnet:?xt=urn:btih:06a2e0b0e9962734b5d2a99e501cca0f550d3d00  ,,
  要塞风云.Fort.Apache.1948.720p.BluRay.x264.DTS-HD4U.4.44GB,magnet:?xt=urn:btih:3def0e7dd4d356bcbff1825b0272f741bf85dabd  ,,
  美人邦：_女大翻身.Turn.Around.2014.1.57GB,magnet:?xt=urn:btih:c145ed712ec84c9d03a83c6ee3fd0598b2043eda  ,,
  掏出你的手帕.Get.Out.Your.Handkerchiefs.1978.DVDRip.x264-HANDJOB.1.78GB,magnet:?xt=urn:btih:d5a742e2417a10e01ef321d1299948d4841a5065  ,,
  赤面煞星.Catchfire.1990.DVDRip.(AVC).mkv.1.9GB,magnet:?xt=urn:btih:2f75e9508c1b7d291b1d35200f42a3593c1e8a6d  ,,
  W.imi_...2013.PL.VODRiP.XViD-Zet.704.91MB,magnet:?xt=urn:btih:66e153d624c9c797d6dee39107740acf8f47e413  ,,
  英雄们.Heroes.2008.Hindi.HDRip.720p.x264.AC3...Hon3y.1.45GB,magnet:?xt=urn:btih:e49b12c9d8b06d8ccebb9b4393e019990076c442  ,,
  大刀王五.Iron.Bodyguard..1973.Dvdrip.Xvid-Retro.511.63MB,magnet:?xt=urn:btih:98eeda275b8ad779d97fde03d23a1e09f1a10078  ,,
  第八圈.Circle.of.Eight.2009.720p.WEB-DL.DD5.1.H.264-FGT.2.66GB,magnet:?xt=urn:btih:552e977b4ccaa9377a657d4191600c71cf1c8002  ,,
  上海丽人.Shanghai.Belle.2011.DVDRip.x264-NOSCREENS.1.05GB,magnet:?xt=urn:btih:474f14fb95fe329b314c003dae22b3952920fc54  ,,
  金·纽曼导读英国另类电影.Guide.to.the.Flipside.of.British.Cinema.2010.DVDRip.x264-HANDJOB.570.51MB,magnet:?xt=urn:btih:d975edd1efb16930e7d42ec03e9685707c224b47  ,,
  Titanium.2014.BluRay.720p.DTS.x264-EPiC.4.93GB,magnet:?xt=urn:btih:dcd53030636d06037a29ad06d5348ba3ed32b596  ,,
  慢学者.Slow.Learners.2015.720p.WEB-DL.XviD.AC3-RARBG.2.83GB,magnet:?xt=urn:btih:566d2b9e9ac0c5ed5557ef9a3339dd1883da9b90  ,,
  三联画.Triptyque.2013.DVDRip.x264-RedBlade.544.76MB,magnet:?xt=urn:btih:efaf7f1375d6634879ffc974242d9ded6e851de8  ,,
  Menú.degustació.(2013).WEBRip.avi.700.29MB,magnet:?xt=urn:btih:dd0efd8807a73ffe6236cb2092c2b5e039c27feb  ,,
